,Unnamed: 0,experiment,prep_date,culture,timing,neuron,auc,firing_rate,coef,power_auc,group
4514,4514,iTBS,13-04-2022,6-2-1,24h-post,12,15.673553937659117,3,0.0267540244673606,23.16818011033897,control
4515,4515,iTBS,13-04-2022,6-2-1,24h-post,14,0.4523447605528483,2,0.0267540244673606,6.074894466107757,control
4516,4516,iTBS,13-04-2022,6-2-1,24h-post,15,11.493848342936682,0,0.0267540244673606,0.4526403712821991,control
4517,4517,iTBS,13-04-2022,6-2-1,24h-post,16,5.357382874227028,3,0.0267540244673606,13.073658910270751,control
4518,4518,iTBS,13-04-2022,6-2-1,24h-post,17,14.58923069103763,2,0.0267540244673606,3.5818561284097963,control
4519,4519,iTBS,13-04-2022,6-2-1,24h-post,18,1.5429206907216173,3,0.0267540244673606,5.726962599561113,control
4520,4520,iTBS,13-04-2022,6-2-1,24h-post,19,16.87545789619788,2,0.0267540244673606,12.633097540638447,control
4521,4521,iTBS,13-04-2022,6-2-1,24h-post,20,8.184240144584415,3,0.0267540244673606,7.33017933960789,control
4522,4522,iTBS,13-04-2022,6-2-1,24h-post,21,1.7114847556631498,1,0.0267540244673606,7.11290788997421,control
4523,4523,iTBS,13-04-2022,6-2-1,24h-post,22,2.289983270903578,1,0.0267540244673606,0.8044547263483959,control
4524,4524,iTBS,13-04-2022,6-2-1,24h-post,23,20.82385210028933,1,0.0267540244673606,3.8729676295749815,control
4525,4525,iTBS,13-04-2022,6-2-1,24h-post,25,5.345062040252485,1,0.0267540244673606,3.509916276955778,control
4526,4526,iTBS,13-04-2022,6-2-1,24h-post,26,0.146001576982468,2,0.0267540244673606,1.4157985993655595,control
4527,4527,iTBS,13-04-2022,6-2-1,24h-post,27,3.96368250716934,2,0.0267540244673606,9.311261833411088,control
4528,4528,iTBS,13-04-2022,6-2-1,24h-post,29,2.039129907655961,1,0.0267540244673606,6.384736390088946,control
4529,4529,iTBS,13-04-2022,6-2-1,24h-post,31,3.434398878752292,2,0.0267540244673606,3.945000722597312,control
4530,4530,iTBS,13-04-2022,6-2-1,24h-post,33,1.193636878784349,1,0.0267540244673606,1.9278539670224315,control
