,spine_ID,Label,Area,IntDen,RawIntDen,batch,culture,segment_ID,time,group,segment,time_cor,normed_size,summed_size
18,19,MAX_W4-C1-63xz-day2.tif,0.461,28.993,2956.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.0687087618415716,86.027
19,20,MAX_W4-C1-63xz-day2.tif,2.334,211.06,21519.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.612775439465214,86.027
20,21,MAX_W4-C1-63xz-day2.tif,1.216,44.176,4504.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.1328050875708389,86.027
21,22,MAX_W4-C1-63xz-day2.tif,2.403,127.309,12980.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.0480435981658476,86.027
22,23,MAX_W4-C1-63xz-day2.tif,1.246,134.243,13687.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,1.3923600307009354,86.027
23,24,MAX_W4-C1-63xz-day2.tif,1.716,152.928,15592.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.899768667753802,86.027
24,25,MAX_W4-C1-63xz-day2.tif,0.991,35.044,3573.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.5667798803169982,86.027
25,26,MAX_W4-C1-63xz-day2.tif,1.01,110.42,11258.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.2308819808762308,86.027
26,27,MAX_W4-C1-63xz-day2.tif,0.677,30.66,3126.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.16539625511805928,86.027
27,28,MAX_W4-C1-63xz-day2.tif,1.226,53.513,5456.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.6710094043887147,86.027
28,29,MAX_W4-C1-63xz-day2.tif,1.069,42.469,4330.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,0.2190410859989891,86.027
29,30,MAX_W4-C1-63xz-day2.tif,1.02,60.859,6205.0,07032022,W4C1,segment1,day2,rMS,W4C1-segment1,2.0,2.2312289191963632,86.027
0,1,MAX_W4-C1-63xz-day3.tif,0.608,79.701,8126.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.3382755436151457,79.701
1,2,MAX_W4-C1-63xz-day3.tif,0.343,50.482,5147.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,2.092257957559682,79.701
2,3,MAX_W4-C1-63xz-day3.tif,0.265,18.145,1850.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.4083860367761248,79.701
3,4,MAX_W4-C1-63xz-day3.tif,1.02,145.582,14843.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.080674614368217,79.701
4,5,MAX_W4-C1-63xz-day3.tif,0.539,58.123,5926.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.5255909427956522,79.701
5,6,MAX_W4-C1-63xz-day3.tif,0.843,75.375,7685.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.87210311353828,79.701
6,7,MAX_W4-C1-63xz-day3.tif,0.451,45.519,4641.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.21866578276095633,79.701
7,8,MAX_W4-C1-63xz-day3.tif,0.716,76.307,7780.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.22047801489751456,79.701
8,9,MAX_W4-C1-63xz-day3.tif,0.52,29.944,3053.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.5909727841480985,79.701
9,10,MAX_W4-C1-63xz-day3.tif,1.285,134.508,13714.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,4.257660167130919,79.701
10,11,MAX_W4-C1-63xz-day3.tif,0.5,23.677,2414.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.8376198393886864,79.701
11,12,MAX_W4-C1-63xz-day3.tif,0.598,61.438,6264.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.224157169044393,79.701
12,13,MAX_W4-C1-63xz-day3.tif,0.598,99.219,10116.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.8500307657884432,79.701
13,14,MAX_W4-C1-63xz-day3.tif,0.638,73.59,7503.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.9562855731995739,79.701
14,15,MAX_W4-C1-63xz-day3.tif,0.942,84.869,8653.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.9036981035639369,79.701
15,16,MAX_W4-C1-63xz-day3.tif,1.157,63.027,6426.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.7586149167108458,79.701
16,17,MAX_W4-C1-63xz-day3.tif,1.059,74.708,7617.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.9739144037857357,79.701
17,18,MAX_W4-C1-63xz-day3.tif,1.01,64.665,6593.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.622303060712494,79.701
18,19,MAX_W4-C1-63xz-day3.tif,1.02,95.923,9780.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,3.535810387408308,79.701
19,20,MAX_W4-C1-63xz-day3.tif,2.334,138.991,14171.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.7206115375092845,79.701
20,21,MAX_W4-C1-63xz-day3.tif,0.814,32.651,3329.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.8372695335538632,79.701
21,22,MAX_W4-C1-63xz-day3.tif,2.06,142.904,14570.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.1764260370617339,79.701
22,23,MAX_W4-C1-63xz-day3.tif,1.324,180.675,18421.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.8739498413093536,79.701
23,24,MAX_W4-C1-63xz-day3.tif,0.863,87.773,8949.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,1.6643217414388107,79.701
24,25,MAX_W4-C1-63xz-day3.tif,1.206,174.045,17745.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,2.8148956817079087,79.701
25,26,MAX_W4-C1-63xz-day3.tif,1.501,221.781,22612.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.4637315395826059,79.701
26,27,MAX_W4-C1-63xz-day3.tif,0.961,113.745,11597.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.6136006861840722,79.701
27,28,MAX_W4-C1-63xz-day3.tif,0.647,29.552,3013.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.37055799373040754,79.701
28,29,MAX_W4-C1-63xz-day3.tif,0.814,124.014,12644.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,0.6396232837853172,79.701
