 ,Label,Area,region,group_ID,culture_ID,group,count,batch_name,norm_count_by_sham
2,middle_ch02-CA3-raw.tif,0.002,CA3,2,1,rMS,70,2911,2.5454545454545454
3,middle_ch02-CA3-raw.tif,0.002,CA3,2,2,rMS,41,2911,1.490909090909091
3,middle_ch02-CA3-raw.tif,0.001,CA3,2,3,rMS,28,2911,1.018181818181818
3,middle_ch02-CA3-raw.tif,0.002,CA3,2,4,rMS,60,2911,2.1818181818181817
2,middle_ch02-CA3-raw.tif,0.001,CA3,6,1,sham-24h,18,2911,1.263157894736842
3,middle_ch02-CA3-raw.tif,0.002,CA3,6,2,sham-24h,10,2911,0.7017543859649122
3,middle_ch02-CA3-raw.tif,0.001,CA3,6,3,sham-24h,6,2911,0.42105263157894735
3,middle_ch02-CA3-raw.tif,0.001,CA3,6,4,sham-24h,23,2911,1.6140350877192982
1,middle_ch02-CA3-raw.tif,0.002,CA3,7,1,24h,28,2911,1.9649122807017543
3,middle_ch02-CA3-raw.tif,0.002,CA3,7,2,24h,37,2911,2.5964912280701755
2,middle_ch02-CA3-raw.tif,0.003,CA3,7,3,24h,37,2911,2.5964912280701755
3,middle_ch02-CA3-raw.tif,0.003,CA3,7,4,24h,83,2911,5.824561403508772
4,middle_ch02-DG-raw.tif,0.000593,DG,1,1,sham,4,2911,0.18823529411764706
2,middle_ch02-DG-raw.tif,0.001,DG,1,2,sham,38,2911,1.7882352941176471
2,middle_ch02-DG-raw.tif,0.001,DG,1,3,sham,2,2911,0.09411764705882353
2,middle_ch02-DG-raw.tif,0.0009587,DG,1,4,sham,41,2911,1.9294117647058824
3,middle_ch02-DG-raw.tif,0.001,DG,2,1,rMS,131,2911,6.1647058823529415
2,middle_ch02-DG-raw.tif,0.001,DG,2,2,rMS,106,2911,4.988235294117647
2,middle_ch02-DG-raw.tif,0.0009593,DG,2,3,rMS,96,2911,4.517647058823529
2,middle_ch02-DG-raw.tif,0.002,DG,2,4,rMS,76,2911,3.5764705882352943
1,middle_ch02-DG-raw.tif,0.0009529,DG,6,1,sham-24h,19,2911,1.6888888888888889
2,middle_ch02-DG-raw.tif,0.000819,DG,6,2,sham-24h,7,2911,0.6222222222222222
2,middle_ch02-DG-raw.tif,0.001,DG,6,3,sham-24h,7,2911,0.6222222222222222
2,middle_ch02-DG-raw.tif,0.0009342,DG,6,4,sham-24h,12,2911,1.0666666666666667
4,middle_ch02-DG-raw.tif,0.00076,DG,7,1,24h,11,2911,0.9777777777777777
2,middle_ch02-DG-raw.tif,0.0009873,DG,7,2,24h,24,2911,2.1333333333333333
3,middle_ch02-DG-raw.tif,0.001,DG,7,3,24h,50,2911,4.444444444444445
2,middle_ch02-DG-raw.tif,0.002,DG,7,4,24h,33,2911,2.933333333333333
3,middle_ch02-EC-raw.tif,0.004,EC,1,1,sham,270,2911,1.8685121107266436
1,middle_ch02-EC-raw.tif,0.004,EC,1,2,sham,86,2911,0.5951557093425606
1,middle_ch02-EC-raw.tif,0.006,EC,1,3,sham,111,2911,0.7681660899653979
