,Peak_Amplitude_[pA],group,cell_ID,extras_path
185043,-40.7447204589843,control,C7_Cell42,control\C7_Cell42.xlsx
185044,-45.3244514465332,control,C7_Cell42,control\C7_Cell42.xlsx
185045,-15.1859054565429,control,C7_Cell42,control\C7_Cell42.xlsx
185046,-13.3910617828369,control,C7_Cell42,control\C7_Cell42.xlsx
185047,-13.3773097991943,control,C7_Cell42,control\C7_Cell42.xlsx
185048,-16.7512454986572,control,C7_Cell42,control\C7_Cell42.xlsx
185049,-36.2274932861328,control,C7_Cell42,control\C7_Cell42.xlsx
185050,-15.5825681686401,control,C7_Cell42,control\C7_Cell42.xlsx
190000,-21.0077419281005,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190001,-15.3255720138549,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190002,-21.1461219787597,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190003,-43.1613044738769,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190004,-33.2209510803222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190005,-21.1450767517089,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190006,-14.629243850708,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190007,-18.1169338226318,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190008,-36.775291442871,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190009,-22.0346755981445,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190010,-23.0278358459472,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190011,-22.7568836212158,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190012,-30.1293659210205,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190013,-21.3947410583496,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190014,-29.7196140289306,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190015,-39.9137153625488,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190016,-18.6120471954345,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190017,-18.1657409667968,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190018,-24.6108264923095,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190019,-20.0477790832519,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190020,-34.6059112548828,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190021,-45.4622840881347,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190022,-31.6310310363769,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190023,-18.525291442871,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190024,-26.2066936492919,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190025,-27.1848106384277,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190026,-17.7169246673583,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190027,-17.4021892547607,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190028,-20.7050457000732,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190029,-42.8578872680664,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190030,-35.3984260559082,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190031,-22.2392215728759,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190032,-46.3020057678222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190033,-52.5495338439941,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190034,-23.0821514129638,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190035,-37.9965362548828,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190036,-19.9410057067871,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190037,-30.185375213623,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190038,-42.5260887145996,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190039,-20.4873695373535,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190040,-17.718162536621,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190041,-32.604995727539,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190042,-17.8804664611816,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190043,-24.7236633300781,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190044,-30.8508586883544,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190045,-50.1775474548339,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190046,-20.8100471496582,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190047,-31.6573772430419,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190048,-23.237600326538,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190049,-20.9297733306884,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190050,-36.1423225402832,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190051,-25.324779510498,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190052,-59.0289268493652,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190053,-67.740119934082,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190054,-24.591007232666,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190055,-23.9132823944091,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190056,-20.0081405639648,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190058,-17.1312961578369,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190059,-43.4579849243164,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190060,-19.3083934783935,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190061,-21.4069271087646,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190062,-37.2113189697265,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190063,-43.6277313232421,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190064,-29.3992614746093,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190065,-31.5260467529296,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190066,-20.1975860595703,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190067,-14.5278549194335,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190068,-16.3609447479248,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190069,-48.2998924255371,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190070,-90.3898468017578,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190071,-14.7366847991943,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190072,-49.0357055664062,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190073,-41.3014907836914,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190074,-27.477798461914,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190075,-20.3202781677246,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190076,-24.5666542053222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190077,-33.1653633117675,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190078,-26.4713840484619,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190079,-16.8890018463134,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190080,-46.5034561157226,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190081,-17.6347198486328,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190082,-25.7748260498046,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190083,-20.6884975433349,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190084,-64.5650787353515,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190085,-60.4115180969238,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190086,-24.3587245941162,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190087,-27.9179458618164,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190088,-38.9042778015136,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190089,-66.7904205322265,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190090,-18.1752891540527,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190092,-22.3740253448486,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190093,-50.6233139038085,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190094,-17.3492202758789,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190095,-40.2123527526855,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190096,-19.5507011413574,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190097,-43.1322555541992,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190098,-15.760850906372,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190099,-22.3539352416992,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190100,-47.3806343078613,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190101,-21.8734302520751,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190102,-19.8318214416503,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190103,-18.653299331665,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190104,-16.4433765411376,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190105,-64.091079711914,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190106,-33.289005279541,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190107,-22.7038516998291,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190108,-22.161169052124,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190109,-22.1001682281494,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190110,-35.3911476135253,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190111,-20.5843257904052,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190112,-68.9768829345703,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190113,-17.5886325836181,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190114,-48.0831031799316,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190115,-23.7000484466552,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190116,-88.9535980224609,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190117,-19.4688682556152,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190119,-26.8646526336669,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190120,-34.5682907104492,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190121,-37.983169555664,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190122,-18.2551307678222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190123,-25.0872745513916,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190124,-23.6614418029785,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190125,-23.1894550323486,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190126,-18.2036094665527,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190128,-16.451732635498,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190129,-31.781530380249,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190130,-31.1057739257812,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190131,-16.1992015838623,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190132,-21.082420349121,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190133,-32.3133392333984,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190134,-15.185730934143,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190136,-19.9734954833984,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190137,-34.5961570739746,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190138,-18.8418102264404,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190139,-22.381326675415,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190140,-34.1379966735839,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190141,-27.8393497467041,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190142,-31.582124710083,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190143,-36.5309600830078,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190144,-15.9525337219238,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190145,-24.2467079162597,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190146,-21.369140625,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190147,-17.0463581085205,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190148,-25.0808067321777,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190149,-28.6025485992431,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190150,-18.7813816070556,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190151,-43.5668601989746,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190152,-23.1889820098876,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190153,-20.8846855163574,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190154,-16.5501174926757,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190155,-34.7251625061035,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190156,-22.4599800109863,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190157,-38.9172401428222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190158,-43.0909538269042,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190159,-22.9896221160888,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190160,-31.884349822998,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190161,-14.6741189956665,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190163,-46.1464920043945,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190164,-26.7032032012939,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190165,-23.6481437683105,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190166,-18.5560894012451,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190167,-40.8174705505371,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190168,-23.2105960845947,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190169,-18.0301570892333,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190170,-26.997875213623,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190171,-23.1610298156738,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190172,-56.6262664794921,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190173,-32.489273071289,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190174,-45.7609481811523,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190175,-23.6281147003173,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190176,-28.2125358581542,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190177,-20.8622970581054,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190178,-20.4020404815673,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190179,-25.6504878997802,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190180,-36.6117515563964,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190181,-55.333755493164,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190182,-24.0292053222656,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190183,-30.3857822418212,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190184,-19.578966140747,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190185,-18.9148044586181,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190186,-24.9817485809326,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190187,-52.2415046691894,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190188,-16.4880275726318,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190189,-14.4979400634765,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190191,-21.7508182525634,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190192,-14.1934232711791,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190194,-19.1931095123291,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190195,-24.533613204956,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190196,-17.8743934631347,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190197,-22.5713653564453,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190198,-39.9968223571777,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190199,-35.6609725952148,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190200,-20.3302021026611,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190201,-37.6390533447265,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190202,-16.0339393615722,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190204,-19.3562870025634,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190205,-28.2742023468017,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190206,-34.1578178405761,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190207,-25.6813697814941,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190208,-19.2609844207763,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190209,-29.5400333404541,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190210,-17.0533752441406,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190212,-19.9686393737792,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190213,-24.9173851013183,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190214,-24.5242023468017,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190215,-23.5024852752685,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190216,-22.3737087249755,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190217,-18.0756683349609,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190218,-54.2880172729492,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190219,-32.4763412475585,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190220,-21.1272735595703,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190221,-20.4256973266601,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190222,-25.9383506774902,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190223,-24.1945705413818,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190224,-18.5131740570068,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190225,-19.5595817565917,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190226,-77.2687759399414,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190227,-23.4941749572753,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190228,-28.3050689697265,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190229,-21.6833419799804,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190230,-30.7877330780029,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190231,-22.2585258483886,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190232,-48.3818321228027,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190233,-38.3832702636718,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190234,-26.5807571411132,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190235,-28.8876590728759,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190236,-23.2888679504394,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190237,-17.2714080810546,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190238,-34.7367668151855,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190239,-25.0461177825927,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190240,-43.0485801696777,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190241,-23.4033432006835,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190242,-26.8038959503173,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190243,-25.9109497070312,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190244,-27.1878128051757,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190245,-20.6990318298339,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190246,-29.5418224334716,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190247,-21.3829040527343,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190248,-27.7928638458251,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190249,-30.4163875579833,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190250,-21.0651016235351,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190251,-23.7548065185546,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190252,-24.317153930664,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190253,-31.311767578125,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190254,-21.8099689483642,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190255,-41.8381385803222,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190256,-22.6207199096679,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190257,-22.4653358459472,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190258,-53.7125740051269,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190259,-19.3255100250244,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190260,-32.5729637145996,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190261,-27.0216369628906,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190262,-35.0373954772949,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190263,-23.8934535980224,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190264,-22.1373481750488,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190265,-21.1817722320556,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190266,-22.2923603057861,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190267,-27.0605106353759,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
190268,-24.3409919738769,stimulated,C1_Cell1,stimulated\C1_Cell1.xlsx
195000,-38.0727272033691,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195001,-19.7119884490966,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195002,-29.8928852081298,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195003,-16.5327091217041,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195004,-29.6550216674804,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195005,-29.6031455993652,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195006,-23.2861900329589,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195007,-18.9230766296386,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195008,-16.7347984313964,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195009,-19.4842510223388,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195010,-44.47802734375,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195011,-47.2369117736816,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195012,-18.7979755401611,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195013,-23.3781051635742,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195014,-33.7399787902832,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195015,-29.6333084106445,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195016,-32.3880462646484,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195017,-16.8607139587402,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195018,-22.1108264923095,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195019,-23.2809791564941,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195020,-19.8003177642822,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195021,-33.9725914001464,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195022,-21.6983985900878,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195023,-19.5107345581054,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195024,-25.7218780517578,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195025,-17.1133708953857,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195026,-20.206895828247,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195027,-32.1201667785644,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195028,-15.0761404037475,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195029,-30.224287033081,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195030,-20.3752937316894,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195031,-19.6281547546386,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195032,-29.6509628295898,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195033,-16.0832023620605,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195034,-15.3139953613281,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195035,-31.7076740264892,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195036,-16.0790576934814,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195037,-20.8920822143554,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195038,-19.6573829650878,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195039,-34.8674201965332,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195040,-40.8220710754394,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195041,-35.9823341369628,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195042,-18.0100631713867,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195043,-25.1488513946533,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195044,-21.2017173767089,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195045,-20.7835273742675,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195046,-17.3891506195068,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195047,-20.7947921752929,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195048,-22.6401977539062,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195049,-17.1885204315185,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195050,-15.8663702011108,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195051,-28.1956443786621,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195052,-20.3007011413574,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195053,-21.102102279663,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195054,-26.3448696136474,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195055,-57.2783775329589,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195056,-19.4872283935546,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195057,-22.5679244995117,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
195058,-35.1406898498535,stimulated,C1_Cell2,stimulated\C1_Cell2.xlsx
