,ave_area,sum_area,group,cell_ID
0,85.57279205322251,2402.321221398195,stimulated,C4_Cell24
0,81.38654692419627,4173.32775312663,stimulated,C5_Cell25
0,101.51818720499658,271366.2701352268,stimulated,C5_Cell26
0,59.85706748214414,2690.7842620959204,stimulated,C5_Cell27
0,83.59975129699696,9500.439562970556,stimulated,C5_Cell28
0,94.53366566231222,14175.673795350614,stimulated,C5_Cell29
0,67.42817433675121,1512.0276791022673,stimulated,C5_Cell30
0,59.20183303764268,3440.95924861992,stimulated_24h,C1_Cell1
0,85.56524165672575,6401.192637508079,stimulated_24h,C1_Cell2
0,95.82240938257267,4784.036698739065,stimulated_24h,C1_Cell3
0,82.22077220916736,7668.32807947747,stimulated_24h,C1_Cell4
0,79.82457977117478,6548.495991110562,stimulated_24h,C1_Cell5
0,85.41008079658106,11507.587100101568,stimulated_24h,C1_Cell6
0,69.44209759270953,4053.7499275410764,stimulated_24h,C2_Cell10
0,86.00551287707145,14067.261499211114,stimulated_24h,C2_Cell11
0,63.63429832458488,3006.241789201668,stimulated_24h,C2_Cell12
0,61.099302697688856,2659.2158263821416,stimulated_24h,C2_Cell7
0,108.15264506846148,18185.751461091706,stimulated_24h,C2_Cell8
0,76.20625503905505,12169.574981673308,stimulated_24h,C2_Cell9
0,82.05463113971771,7366.2033961527495,stimulated_24h,C3_Cell13
0,105.01863988240541,7064.682598457134,stimulated_24h,C3_Cell14
0,94.35831071798066,14611.09699513273,stimulated_24h,C3_Cell15
0,102.88366369767606,8515.157411240974,stimulated_24h,C3_Cell16
0,103.7923902255384,6679.779436085364,stimulated_24h,C3_Cell17
0,74.12479940602466,4965.716425049793,stimulated_24h,C3_Cell18
0,85.8190776126484,5758.404085025304,stimulated_24h,C4_Cell19
0,92.05348271195591,7807.314322386158,stimulated_24h,C4_Cell20
0,69.10494272867828,4784.309790618566,stimulated_24h,C4_Cell21
0,97.85294389270584,9706.173667257566,stimulated_24h,C4_Cell22
0,83.75785164427899,11587.602139313694,stimulated_24h,C4_Cell23
0,79.52973378815254,12551.264114726435,stimulated_24h,C4_Cell24
0,63.888638178507385,3233.0716049821344,stimulated_24h,C5_Cell25
0,105.38607536315898,4831.744970118188,stimulated_24h,C5_Cell26
0,64.6036185549016,3538.6004828404893,stimulated_24h,C5_Cell27
0,78.78332184300267,2462.9758930050643,stimulated_24h,C5_Cell28
0,65.40737124523476,5138.848030840927,stimulated_24h,C5_Cell29
0,75.80059678213927,2951.592963042658,stimulated_24h,C5_Cell30
0,62.74624294704854,3212.511184232095,stimulated_24h,C6_Cell31
0,99.54671394534205,6857.221318774485,stimulated_24h,C6_Cell32
0,104.42137896889119,8753.798854783723,stimulated_24h,C6_Cell33
0,63.38020215715673,1929.1877462519776,stimulated_24h,C6_Cell34
0,90.13880609308615,7738.295260407896,stimulated_24h,C6_Cell35
0,83.24072310129792,11954.387280928393,stimulated_24h,C6_Cell36
