,Interevent-Interval_[ms],group,cell_ID,extras_path
5006,6495.599609375,control,C1_Cell2,control\C1_Cell2.xlsx
5007,4942.0,control,C1_Cell2,control\C1_Cell2.xlsx
5008,8663.798828125,control,C1_Cell2,control\C1_Cell2.xlsx
5009,9996.1015625,control,C1_Cell2,control\C1_Cell2.xlsx
5010,6149.1015625,control,C1_Cell2,control\C1_Cell2.xlsx
5011,854.898376464843,control,C1_Cell2,control\C1_Cell2.xlsx
5012,818.3984375,control,C1_Cell2,control\C1_Cell2.xlsx
5013,6435.1015625,control,C1_Cell2,control\C1_Cell2.xlsx
5014,11922.6015625,control,C1_Cell2,control\C1_Cell2.xlsx
5015,246.50015258789,control,C1_Cell2,control\C1_Cell2.xlsx
5016,2158.6953125,control,C1_Cell2,control\C1_Cell2.xlsx
5017,3245.40600585937,control,C1_Cell2,control\C1_Cell2.xlsx
5018,3977.00024414062,control,C1_Cell2,control\C1_Cell2.xlsx
5019,4211.3984375,control,C1_Cell2,control\C1_Cell2.xlsx
5020,286.29702758789,control,C1_Cell2,control\C1_Cell2.xlsx
5021,527.1015625,control,C1_Cell2,control\C1_Cell2.xlsx
5022,1922.49975585937,control,C1_Cell2,control\C1_Cell2.xlsx
5023,4709.796875,control,C1_Cell2,control\C1_Cell2.xlsx
5024,1195.90625,control,C1_Cell2,control\C1_Cell2.xlsx
5025,770.093688964843,control,C1_Cell2,control\C1_Cell2.xlsx
5026,232.406372070312,control,C1_Cell2,control\C1_Cell2.xlsx
5027,604.695190429687,control,C1_Cell2,control\C1_Cell2.xlsx
5028,1062.39855957031,control,C1_Cell2,control\C1_Cell2.xlsx
5029,3073.10131835937,control,C1_Cell2,control\C1_Cell2.xlsx
5030,138.398559570312,control,C1_Cell2,control\C1_Cell2.xlsx
5031,1067.80456542968,control,C1_Cell2,control\C1_Cell2.xlsx
5032,7666.1015625,control,C1_Cell2,control\C1_Cell2.xlsx
5033,3725.8984375,control,C1_Cell2,control\C1_Cell2.xlsx
10001,1733.80017089843,control,C1_Cell3,control\C1_Cell3.xlsx
10003,42.6000518798828,control,C1_Cell3,control\C1_Cell3.xlsx
10004,211.699996948242,control,C1_Cell3,control\C1_Cell3.xlsx
10005,868.999877929687,control,C1_Cell3,control\C1_Cell3.xlsx
10006,622.700073242187,control,C1_Cell3,control\C1_Cell3.xlsx
10007,318.799713134765,control,C1_Cell3,control\C1_Cell3.xlsx
10008,633.80029296875,control,C1_Cell3,control\C1_Cell3.xlsx
10009,525.600280761718,control,C1_Cell3,control\C1_Cell3.xlsx
10011,962.89990234375,control,C1_Cell3,control\C1_Cell3.xlsx
10012,56.6001014709472,control,C1_Cell3,control\C1_Cell3.xlsx
10013,1688.89953613281,control,C1_Cell3,control\C1_Cell3.xlsx
10014,976.500061035156,control,C1_Cell3,control\C1_Cell3.xlsx
10015,1883.69995117187,control,C1_Cell3,control\C1_Cell3.xlsx
10016,668.900390625,control,C1_Cell3,control\C1_Cell3.xlsx
10017,610.500183105468,control,C1_Cell3,control\C1_Cell3.xlsx
10018,409.200103759765,control,C1_Cell3,control\C1_Cell3.xlsx
10019,339.699096679687,control,C1_Cell3,control\C1_Cell3.xlsx
10020,293.0,control,C1_Cell3,control\C1_Cell3.xlsx
10021,714.5,control,C1_Cell3,control\C1_Cell3.xlsx
10022,521.400573730468,control,C1_Cell3,control\C1_Cell3.xlsx
10023,807.2998046875,control,C1_Cell3,control\C1_Cell3.xlsx
10024,42.7998046875,control,C1_Cell3,control\C1_Cell3.xlsx
10025,681.099548339843,control,C1_Cell3,control\C1_Cell3.xlsx
10026,1557.6015625,control,C1_Cell3,control\C1_Cell3.xlsx
10027,1307.99975585937,control,C1_Cell3,control\C1_Cell3.xlsx
10028,171.299041748046,control,C1_Cell3,control\C1_Cell3.xlsx
10029,743.800659179687,control,C1_Cell3,control\C1_Cell3.xlsx
10030,629.0,control,C1_Cell3,control\C1_Cell3.xlsx
10031,286.400604248046,control,C1_Cell3,control\C1_Cell3.xlsx
10032,415.49966430664,control,C1_Cell3,control\C1_Cell3.xlsx
10033,129.000335693359,control,C1_Cell3,control\C1_Cell3.xlsx
10034,917.298828125,control,C1_Cell3,control\C1_Cell3.xlsx
10035,477.0,control,C1_Cell3,control\C1_Cell3.xlsx
10037,68.4002990722656,control,C1_Cell3,control\C1_Cell3.xlsx
10038,99.3008728027343,control,C1_Cell3,control\C1_Cell3.xlsx
10039,1153.298828125,control,C1_Cell3,control\C1_Cell3.xlsx
10040,4016.900390625,control,C1_Cell3,control\C1_Cell3.xlsx
10041,882.801025390625,control,C1_Cell3,control\C1_Cell3.xlsx
10042,52.599609375,control,C1_Cell3,control\C1_Cell3.xlsx
10043,501.09927368164,control,C1_Cell3,control\C1_Cell3.xlsx
10044,1280.5,control,C1_Cell3,control\C1_Cell3.xlsx
10047,843.300659179687,control,C1_Cell3,control\C1_Cell3.xlsx
10048,198.500106811523,control,C1_Cell3,control\C1_Cell3.xlsx
10049,350.3984375,control,C1_Cell3,control\C1_Cell3.xlsx
10050,504.30078125,control,C1_Cell3,control\C1_Cell3.xlsx
10051,704.699279785156,control,C1_Cell3,control\C1_Cell3.xlsx
10052,237.30093383789,control,C1_Cell3,control\C1_Cell3.xlsx
10053,194.898223876953,control,C1_Cell3,control\C1_Cell3.xlsx
10054,62.7030639648437,control,C1_Cell3,control\C1_Cell3.xlsx
10055,825.000061035156,control,C1_Cell3,control\C1_Cell3.xlsx
10056,177.09765625,control,C1_Cell3,control\C1_Cell3.xlsx
10057,586.699279785156,control,C1_Cell3,control\C1_Cell3.xlsx
10058,221.999938964843,control,C1_Cell3,control\C1_Cell3.xlsx
10059,655.300842285156,control,C1_Cell3,control\C1_Cell3.xlsx
10060,338.499877929687,control,C1_Cell3,control\C1_Cell3.xlsx
10061,292.402374267578,control,C1_Cell3,control\C1_Cell3.xlsx
10062,106.296958923339,control,C1_Cell3,control\C1_Cell3.xlsx
10063,659.101440429687,control,C1_Cell3,control\C1_Cell3.xlsx
10064,1606.60180664062,control,C1_Cell3,control\C1_Cell3.xlsx
10065,863.398193359375,control,C1_Cell3,control\C1_Cell3.xlsx
10066,197.300735473632,control,C1_Cell3,control\C1_Cell3.xlsx
10067,363.597930908203,control,C1_Cell3,control\C1_Cell3.xlsx
10068,1613.60144042968,control,C1_Cell3,control\C1_Cell3.xlsx
10069,122.101440429687,control,C1_Cell3,control\C1_Cell3.xlsx
10070,1194.50012207031,control,C1_Cell3,control\C1_Cell3.xlsx
10071,761.000183105468,control,C1_Cell3,control\C1_Cell3.xlsx
10072,377.296875,control,C1_Cell3,control\C1_Cell3.xlsx
10073,93.9021224975585,control,C1_Cell3,control\C1_Cell3.xlsx
10074,158.199432373046,control,C1_Cell3,control\C1_Cell3.xlsx
10075,227.601318359375,control,C1_Cell3,control\C1_Cell3.xlsx
10076,814.296936035156,control,C1_Cell3,control\C1_Cell3.xlsx
10077,28.4999179840087,control,C1_Cell3,control\C1_Cell3.xlsx
10078,449.301025390625,control,C1_Cell3,control\C1_Cell3.xlsx
10079,1918.40209960937,control,C1_Cell3,control\C1_Cell3.xlsx
10080,30.8984813690185,control,C1_Cell3,control\C1_Cell3.xlsx
10081,1413.10180664062,control,C1_Cell3,control\C1_Cell3.xlsx
10082,2167.69897460937,control,C1_Cell3,control\C1_Cell3.xlsx
10083,215.300704956054,control,C1_Cell3,control\C1_Cell3.xlsx
10084,306.097625732421,control,C1_Cell3,control\C1_Cell3.xlsx
10085,1456.40258789062,control,C1_Cell3,control\C1_Cell3.xlsx
10087,1199.69921875,control,C1_Cell3,control\C1_Cell3.xlsx
10088,75.8984222412109,control,C1_Cell3,control\C1_Cell3.xlsx
10089,257.6015625,control,C1_Cell3,control\C1_Cell3.xlsx
10090,366.199249267578,control,C1_Cell3,control\C1_Cell3.xlsx
10091,213.601776123046,control,C1_Cell3,control\C1_Cell3.xlsx
10092,291.09765625,control,C1_Cell3,control\C1_Cell3.xlsx
10093,2861.60131835937,control,C1_Cell3,control\C1_Cell3.xlsx
10094,662.3984375,control,C1_Cell3,control\C1_Cell3.xlsx
10095,421.500091552734,control,C1_Cell3,control\C1_Cell3.xlsx
